,num_passengers,purchase_lead,length_of_stay,flight_hour,add_ons_count,flight_duration,flight_day,route_0,route_1,route_2,route_3,route_4,route_5,route_6,route_7,route_8,route_9,booking_origin_0,booking_origin_1,booking_origin_2,booking_origin_3,booking_origin_4,booking_origin_5,booking_origin_6,wants_extra_baggage,wants_preferred_seat,wants_in_flight_meals,departure_city_0,departure_city_1,departure_city_2,departure_city_3,departure_city_4,departure_city_5,departure_city_6,arrival_city_0,arrival_city_1,arrival_city_2,arrival_city_3,arrival_city_4,arrival_city_5,arrival_city_6,is_weekend,booking_urgency,long_haul,is_AM,departure_country_0,departure_country_1,departure_country_2,departure_country_3,departure_country_4,arrival_country_0,arrival_country_1,arrival_country_2,arrival_country_3,arrival_country_4,sales_channel_Mobile,trip_type_CircleTrip,trip_type_OneWay,trip_type_RoundTrip
22526,1.1166046730975012,0.04027207045650423,0.6127013189671301,0.44563779509228063,1.4776034040072414,-1.1225527266413642,5,1,0,0,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1
29463,-0.7613985763745363,1.2891891957507098,-1.0639330857182203,-0.6766107939409205,0.6569995985961722,0.09970522980350549,4,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1
36330,1.8192825302635733,-0.056406554338386976,-0.8282822569920967,-0.07853659432621089,1.4776034040072414,0.9469511485926131,2,0,0,1,0,1,1,0,1,1,0,0,0,0,0,1,1,1,1,1,1,0,0,1,0,1,0,1,0,0,1,1,1,1,1,0,1,1,1,0,1,0,1,0,0,0,1,1,0,0,0,0,1
1028,-0.7613985763745363,-0.8872766810520506,1.6178040612188873,0.9209262596682888,-1.5108170509771273,1.0798180089877247,7,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1
4580,-0.7613985763745363,1.1730978673246413,0.3847091583531292,-1.4102044758068109,-0.29911905412201495,-0.5399461303329668,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1
41049,-0.7613985763745363,0.35728719195198855,-0.8282822569920967,-1.7150767401932572,0.6569995985961722,-1.1225527266413642,7,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0,1,1,1,1,1,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1
25990,-0.7613985763745363,1.8963561348644904,-1.7845552207709512,0.9209262596682888,-1.5108170509771273,0.09970522980350549,6,0,1,0,1,0,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,1,1,1,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1
41387,1.8014558636865403,0.507209264218644,-0.8282822569920967,-1.7150767401932572,-1.5108170509771273,-1.274333431606884,7,1,0,0,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1
44565,1.1166046730975012,0.27401566791849435,-0.6372779219856636,1.0709625451579436,-0.29911905412201495,-0.2942385919163512,7,0,0,1,1,1,1,1,1,0,1,0,0,0,1,1,1,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,1,1,0,0,1
39937,1.1166046730975012,-1.180816007907414,-0.8282822569920967,-1.1430031266458724,-0.29911905412201495,-0.6638620900086041,7,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,1,0,0,1,1,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1
26506,-0.7613985763745363,0.4453830467664642,-1.3674014856850494,0.27723331018981234,-0.29911905412201495,-1.1225527266413642,1,0,0,0,0,0,1,1,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1
4640,-0.7613985763745363,0.7826823794839637,0.872060556005321,0.9209262596682888,0.6569995985961722,1.0798180089877247,4,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1
7642,-0.7613985763745363,0.8444715571881899,0.4844262509611635,0.27723331018981234,-1.5108170509771273,-1.5687005871974498,3,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,1,0,0,1
879,-0.7613985763745363,0.9729956079443682,0.6127013189671301,-0.9007216998172387,0.6569995985961722,1.0798180089877247,2,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,1,0,0,1,1,0,1,0,0,1
33441,1.1166046730975012,1.4623809616396695,-1.0639330857182203,-0.9007216998172387,0.6569995985961722,-0.2942385919163512,6,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,1,1,1,0,0,1,1,0,1,0,0,1,0,0,1,0,1,0,1,0,0,1,1,0,1,0,0,0,1
2730,-0.7613985763745363,-0.4954094557997331,1.0786758732989514,0.10279385556032979,1.4776034040072414,1.0798180089877247,3,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,1,1,0,1,0,0,1,0,0,0,1
49120,-0.7613985763745363,-0.34853356108483197,-0.6372779219856636,-0.07853659432621089,-0.29911905412201495,1.0798180089877247,3,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0,0,1,0,1,1,0,1,1,1,0,1,1,1,1,0,1,0,1,0,0,0,0,1,0,0,0,1
37222,-0.7613985763745363,-1.4629623565409806,-0.8282822569920967,-0.9007216998172387,0.6569995985961722,-1.1225527266413642,3,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,1,0,1,0,0,1,1,0,1,1,0,0,0,1,1,1,0,0,1,0,1,0,1,0,0,1,0,1,0,0,1,1,0,0,1
