,booking_complete
22526,0
29463,0
36330,0
1028,0
4580,0
41049,0
25990,0
41387,0
44565,0
39937,0
26506,0
4640,0
7642,0
879,0
33441,0
2730,0
49120,1
37222,0
39567,1
26188,0
34112,0
13883,0
16819,0
39408,0
7938,0
179,0
39088,0
9080,0
47826,1
47487,0
25245,0
3802,0
24860,0
27665,0
37184,0
17010,0
17374,0
11189,0
4603,0
18820,0
36856,0
15025,0
47858,0
11664,0
7904,0
11041,0
42867,1
6689,0
39187,0
32669,0
48878,1
30414,1
29480,1
27234,0
32033,0
31223,1
12134,0
11774,1
26795,0
36176,0
5668,1
29086,1
6795,0
18541,1
47070,0
25257,0
21225,0
3207,0
35270,1
26642,0
18192,1
19678,0
6812,0
42098,0
48746,0
37370,0
16449,1
46523,0
31379,1
28207,0
20886,0
31498,0
21027,0
47454,0
10309,0
46707,0
34103,1
40995,0
26049,0
16231,1
48615,0
45088,0
46541,0
12684,0
27319,0
45124,0
33022,0
29565,0
7711,0
7730,0
10563,0
30193,0
34843,0
37578,0
46683,0
140,0
29476,1
15233,0
40330,0
44610,1
20557,0
26019,0
38468,0
27967,1
19776,0
20650,0
45496,0
19119,0
12256,0
21332,0
25560,0
25460,0
5115,0
48535,1
39751,0
4291,0
11818,0
34646,1
44212,1
19585,0
39717,0
46348,0
20658,0
41132,0
46401,1
12681,0
31692,0
35140,1
494,0
35732,0
29706,1
7881,0
22254,0
7239,0
19093,0
25505,0
26659,0
4978,0
25527,0
159,0
34770,0
30689,1
36912,0
35429,0
27514,0
37860,0
22842,1
3542,0
49182,0
35177,0
26492,1
16051,1
502,1
15410,0
38425,0
5694,0
19740,0
30159,0
46414,0
22845,0
21741,0
8355,0
25449,0
16784,0
13378,0
42168,0
28078,0
49039,0
17748,0
39923,0
21657,0
10364,0
32264,0
15951,0
20357,0
9609,0
22840,0
27369,0
29390,0
49375,0
20169,0
1605,1
3749,1
33934,0
12823,0
12965,0
13494,0
36979,0
19299,0
33710,1
11887,0
20348,0
37952,0
13319,0
15047,0
17646,0
33201,0
